Temperature,Humidity,Time 
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
23,17,5
23,17,5
23,17,5
23,17,5
23,17,5
23,17,5
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
4,12,15
5,12,15
5,12,15
5,12,15
5,12,15
5,12,15
5,12,15
5,12,15
5,12,15
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,14
5,12,13
5,12,13
5,12,13
5,12,13
5,12,13
5,12,13
23,17,5
23,17,5
23,17,5
23,17,5
23,17,5
23,17,5
5,12,13
5,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
6,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,13
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,12,12
7,13,12
7,13,12
7,13,12
7,13,12
7,13,12
7,13,12
7,13,12
7,13,12
7,13,12
7,13,12
7,13,12
7,13,12
23,17,5
23,17,5
23,17,5
23,17,5
23,17,5
23,17,5
7,13,12
7,13,12
7,13,12
7,13,12
7,13,12
7,13,12
7,13,12
7,13,12
7,13,12
7,13,12
7,13,12
7,13,12
7,13,12
8,13,12
8,13,12
8,13,12
8,13,12
8,13,12
8,13,12
8,13,12
8,13,12
8,13,12
8,13,12
8,13,12
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
8,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,11
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
9,13,10
10,13,10
10,13,10
10,13,10
10,13,10
10,13,10
10,13,10
10,13,10
10,13,10
10,13,10
23,17,5
23,17,5
23,17,5
23,17,5
23,17,5
23,17,5
10,13,10
